Index,ADC_Sample,Original_Signal,FFT_Real,FFT_Imag
        239,0000,0000,7febf3d,0002b96
        240,0000,0000,7fedb18,000381a
        241,0000,0000,7fec847,0002487
        242,0000,0000,7fe873e,000385f
        243,0000,0000,7fe5c49,0008b53
        244,0000,0000,7fe7578,000e54f
        245,0000,0000,7feaede,00107ea
        246,0000,0000,7fec2d2,000ff45
        247,0000,0000,7fea624,0011047
        248,0000,0000,7fe9654,0015bd1
        249,0000,0000,7fec79e,001b275
        250,0000,0000,7ff1f96,001d263
        251,0000,0000,7ff5810,001bd2f
        252,0000,0000,7ff5afc,001b41a
        253,0000,0000,7ff5e39,001e0bd
        254,0000,0000,7ff9aa6,0021d8c
        255,0000,0000,0000000,002279e
        256,0000,0000,000498d,001f693
        257,0000,0000,00057b3,001c73b
        258,0000,0000,0005813,001caf7
        259,0000,0000,000877c,001e6cb
        260,0000,0000,000e021,001d889
        261,0000,0000,001210e,0018e96
        262,0000,0000,00122bf,0013ff6
        263,0000,0000,0010a8a,001242a
        264,0000,0000,00117e9,0012b1a
        265,0000,0000,0015016,0011428
        266,0000,0000,0017771,000c4fd
        267,0000,0000,001603b,0006d65
        268,0000,0000,0012736,000491a
        269,0000,0000,0010d62,0005216
        270,0000,0000,001228c,0004a67
        271,0000,0000,001319c,0000f3f
        272,0000,0000,00107fd,7ffc7bd
        273,0000,0000,000b92c,7ffb1a7
        274,0000,0000,00085e6,7ffd060
        275,0000,0000,0008791,7ffe96a
        276,0000,0000,000905b,7ffd22d
        277,0000,0000,000697b,7ffa817
        278,0000,0000,0001cd6,7ffa919
        279,0000,0000,7ffe8c2,7ffe17f
        280,0000,0000,7ffeea1,0001b59
        281,0000,0000,0000849,000255f
        282,0000,0000,7fffb7b,00012ff
        283,0000,0000,7ffc7fc,0002137
        284,0000,0000,7ffa7d5,00064aa
        285,0000,0000,7ffc2fb,000ad6d
        286,0000,0000,7fffae5,000c576
        287,0000,0000,0001348,000b660
        288,0000,0000,0000189,000bb3f
        289,0000,0000,7fffa18,000f11c
        290,0000,0000,0002a26,0012f89
        291,0000,0000,0007b68,0013d6a
        292,0000,0000,000b0cb,0011b90
        293,0000,0000,000b658,0010240
        294,0000,0000,000b9ea,0011660
        295,0000,0000,000ed1b,0013852
        296,0000,0000,0014279,0012e05
        297,0000,0000,0017e43,000ef9c
        298,0000,0000,0018434,000b1f4
        299,0000,0000,0017b61,000a0df
        300,0000,0000,0019914,000a608
        301,0000,0000,001d94e,00087be
        302,0000,0000,0020398,0003627
        303,0000,0000,001f4d4,7ffe127
        304,0000,0000,001cd2a,7ffb9f7
        305,0000,0000,001c4a0,7ffb393
        306,0000,0000,001e10f,7ff9594
        307,0000,0000,001eeae,7ff4817
        308,0000,0000,001c50c,7fef493
        309,0000,0000,0017cc1,7fecff4
        310,0000,0000,0014f6a,7fed5e2
        311,0000,0000,0014c34,7fed008
        312,0000,0000,001452d,7fe9eab
        313,0000,0000,0010d44,7fe636a
        314,0000,0000,000b507,7fe54d7
        315,0000,0000,00075c4,7fe76da
        316,0000,0000,0006703,7fe95ea
        317,0000,0000,0006124,7fe8b27
        318,0000,0000,0003311,7fe6f83
        319,0000,0000,7ffe49a,7fe79c4
        320,0000,0000,7ffacb9,7feb5a1
        321,0000,0000,7ffaa07,7fef38b
        322,0000,0000,7ffbb4e,7ff06b6
        323,0000,0000,7ffac4e,7feff1b
        324,0000,0000,7ff7b6f,7ff12e3
        325,0000,0000,7ff5bd4,7ff5559
        326,0000,0000,7ff71c0,7ff9c5f
        327,0000,0000,7ffa2b6,7ffb6f3
        328,0000,0000,7ffb869,7ffaca4
        329,0000,0000,7ffa7e2,7ffb207
        330,0000,0000,7ff9f41,7ffe216
        331,0000,0000,7ffc792,00019ac
        332,0000,0000,0000da8,0002552
        333,0000,0000,0003aaa,00004b4
        334,0000,0000,0003b3b,7ffea1e
        335,0000,0000,00037a0,7fff7e9
        336,0000,0000,0005d1d,00012eb
        337,0000,0000,000a0b0,00006e4
        338,0000,0000,000ccb7,7ffcbd7
        339,0000,0000,000c69f,7ff911c
        340,0000,0000,000b0da,7ff7f31
        341,0000,0000,000bc26,7ff836a
        342,0000,0000,000e646,7ff69cd
        343,0000,0000,000fcab,7ff230e
        344,0000,0000,000deec,7fed9c2
        345,0000,0000,000a92f,7febb75
        346,0000,0000,0008ede,7febd8e
        347,0000,0000,00096d6,7fead39
        348,0000,0000,00092ed,7fe739b
        349,0000,0000,0005dd1,7fe3532
        350,0000,0000,0000cde,7fe22a4
        351,0000,0000,7ffd4d5,7fe3934
        352,0000,0000,7ffc510,7fe4786
        353,0000,0000,7ffb4b1,7fe2f8e
        354,0000,0000,7ff79fc,7fe0e73
        355,0000,0000,7ff22fa,7fe1625
        356,0000,0000,7fee3ca,7fe4b55
        357,0000,0000,7fed350,7fe7f1f
        358,0000,0000,7fece41,7fe8cd4
        359,0000,0000,7fea70b,7fe89a4
        360,0000,0000,7fe6360,7fea79f
        361,0000,0000,7fe3523,7fef293
        362,0000,0000,7fe396b,7ff3f7a
        363,0000,0000,7fe52a3,7ff6438
        364,0000,0000,7fe5038,7ff6de6
        365,0000,0000,7fe2f0d,7ff8e1a
        366,0000,0000,7fe1d54,7ffd7c3
        367,0000,0000,7fe3d1f,000251c
        368,0000,0000,7fe7719,0004863
        369,0000,0000,7fe98c4,000471d
        370,0000,0000,7fe9681,0005186
        371,0000,0000,7fe99a3,00081e3
        372,0000,0000,7fec8df,000b90b
        373,0000,0000,7ff13ad,000c751
        374,0000,0000,7ff471c,000aaf0
        375,0000,0000,7ff4ff6,0009269
        376,0000,0000,7ff528c,0009e9e
        377,0000,0000,7ff7951,000b80c
        378,0000,0000,7ffbb91,000ae4c
        379,0000,0000,7ffe806,00078cc
        380,0000,0000,7ffe4d4,00042ce
        381,0000,0000,7ffd0d1,000332f
        382,0000,0000,7ffd9fa,0003a2a
        383,0000,0000,0000000,000278c
        384,0000,0000,00014a1,7ffebd2
        385,0000,0000,7fff8d1,7ffadc5
        386,0000,0000,7ffc59f,7ff986b
        387,0000,0000,7ffab6b,7ffa3aa
        388,0000,0000,7ffb27a,7ffa004
        389,0000,0000,7ffb0b8,7ff76ef
        390,0000,0000,7ff8270,7ff492a
        391,0000,0000,7ff3a67,7ff4476
        392,0000,0000,7ff0a1a,7ff6799
        393,0000,0000,7ff01a2,7ff84ac
        394,0000,0000,7fefb8a,7ff7e28
        395,0000,0000,7fed030,7ff6dce
        396,0000,0000,7fe8b23,7ff8269
        397,0000,0000,7fe5d0c,7ffc187
        398,0000,0000,7fe5ca4,7ffffcd
        399,0000,0000,7fe69db,000196e
        400,0000,0000,7fe593a,00020a3
        401,0000,0000,7fe2e3b,0004454
        402,0000,0000,7fe1735,00090ee
        403,0000,0000,7fe3072,000dec8
        404,0000,0000,7fe5f2e,001053f
        405,0000,0000,7fe7504,0010f20
        406,0000,0000,7fe6d36,0012aeb
        407,0000,0000,7fe723e,0016be1
        408,0000,0000,7fea53c,001af95
        409,0000,0000,7fef13f,001ca62
        410,0000,0000,7ff2636,001c011
        411,0000,0000,7ff375f,001bdff
        412,0000,0000,7ff4ae5,001de57
        413,0000,0000,7ff85f0,002054a
        414,0000,0000,7ffda56,0020572
        415,0000,0000,000182b,001dc1a
        416,0000,0000,0002b77,001b498
        417,0000,0000,000359f,001afa1
        418,0000,0000,0005fb6,001b8a4
        419,0000,0000,000a32e,001a1c6
        420,0000,0000,000d193,001618b
        421,0000,0000,000d172,001205a
        422,0000,0000,000bede,0010432
        423,0000,0000,000c65a,000ffd0
        424,0000,0000,000e953,000e583
        425,0000,0000,000fcb2,000a526
        426,0000,0000,000e1e5,0006269
        427,0000,0000,000afb9,000472e
        428,0000,0000,00094c1,0004d19
        429,0000,0000,0009a99,000473b
        430,0000,0000,0009a11,0001e78
        431,0000,0000,0007076,7fff0a9
        432,0000,0000,0002e27,7ffe9c4
        433,0000,0000,0000294,0000a12
        434,0000,0000,7fffe80,000260f
        435,0000,0000,7ffff87,0001fe8
        436,0000,0000,7ffdeb7,0000e9d
        437,0000,0000,7ffa55d,0001ef2
        438,0000,0000,7ff81ce,00057d0
        439,0000,0000,7ff8b24,000901e
        440,0000,0000,7ffa38b,000a452
        441,0000,0000,7ffa089,000a427
        442,0000,0000,7ff83d5,000bcbd
        443,0000,0000,7ff78e0,000fb45
        444,0000,0000,7ff9bf9,0013a9f
        445,0000,0000,7ffd48f,0015313
        446,0000,0000,7fff55f,0014d5b
        447,0000,0000,7fff7eb,00155fe
        448,0000,0000,000043c,001812a
        449,0000,0000,0003af0,001af28
        450,0000,0000,0008949,001b54d
        451,0000,0000,000c0ad,001960a
        452,0000,0000,000d332,0017cb1
        453,0000,0000,000e476,0018441
        454,0000,0000,0011943,0019375
        455,0000,0000,001658b,0017e61
        456,0000,0000,0019b06,00140f5
        457,0000,0000,001a55c,00104d2
